,0,1,2,,,,,,,,
0,0.5,0,0.759036145,,bottle,0.500,0.000,0.759,0.396,0.000,0.759
1,0.5,0,0.585714286,,cable,0.500,0.000,0.586,0.466,0.000,0.586
2,0.5,0,0.825757576,,capsule,0.500,0.000,0.826,0.541,0.000,0.826
3,0.492063492,0,0.794117647,,carpet,0.492,0.000,0.794,0.517,0.000,0.794
4,0.5,0,0.730769231,,grid,0.500,0.000,0.731,0.500,0.000,0.731
5,0.5,0,0.636363636,,hazelnut,0.500,0.000,0.636,0.551,0.000,0.636
6,0.5,0,0.741935484,,leather,0.500,0.000,0.742,0.551,0.000,0.742
7,0.5,0,0.808695652,,metal_nut,0.500,0.000,0.809,0.504,0.000,0.809
8,0.552782324,0,0.844311377,,pill,0.553,0.000,0.844,0.615,0.000,0.844
9,0.5,0,0.74375,,screw,0.500,0.000,0.744,0.492,0.000,0.744
10,0.515151515,0,0.717948718,,tile,0.515,0.000,0.718,0.461,0.000,0.718
11,0.5,0,0.714285714,,toothbrush,0.500,0.000,0.714,0.500,0.000,0.714
12,0.5,0,0.4,,transistor,0.500,0.000,0.400,0.477,0.000,0.400
13,0.522368421,0,0.759493671,,wood,0.522,0.000,0.759,0.474,0.000,0.759
14,0.5,0,0.78807947,,zipper,0.500,0.000,0.788,0.594,0.000,0.788
,,,,,,,,,,,
,,,,,,,,,,,
