,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,ROCAUC,F’l,Accuracy,,,ROCAUC,F’l,Accuracy
,,,,bottle,0.851,0.588,0.663,,carpet,0.448,0.341,0.206
,,,,cable,0.694,0.659,0.593,,grid,0.440,0.424,0.269
,,,,capsule,0.532,0.297,0.212,,leather,0.443,0.000,0.556
,,,,hazelnut,0.702,0.584,0.482,,tile,0.741,0.463,0.385
,,,,metal_nut,0.459,0.303,0.200,,wood,0.921,0.463,0.443
,,,,pill,0.743,0.356,0.437,,,,,
,,,,screw,0.062,0.195,0.125,,avg,0.598,0.338,0.372
,,,,toothbrush,0.883,0.733,0.810,,,,,
,,,,transistor,0.709,0.800,0.710,,,,,
,,,,zipper,0.521,0.353,0.272,,,,,
,,,,,,,,,,,,
,,,,avg,0.616,0.487,0.450,,,,,
